TimeStamp, Model Name, Event Details, CPU Usage(%), RAM(%)
2022-10-21 12:15:04, Object Detection, No person detected, 44.625, 90.3
2022-10-21 12:15:05, Object Detection, Mobile Phone detected, 44.625, 90.3
2022-10-21 12:15:05, Object Detection, No person detected, 44.625, 90.3
2022-10-21 12:15:05, Object Detection, Mobile Phone detected, 44.625, 90.4
2022-10-21 12:15:05, Object Detection, No person detected, 44.625, 90.4
2022-10-21 12:15:06, Eye Tracking, Eyes Looking up, 42.0, 90.4
2022-10-21 12:15:09, Eye Tracking, Eyes Looking right, 42.0, 90.4
2022-10-21 12:15:10, Head Pose, Head Turned left, 42.0, 90.5
2022-10-21 12:15:11, Head Pose, Head Turned Right, 42.0, 90.5
2022-10-21 12:15:12, Head Pose, Head Turned up, 46.625, 90.5
2022-10-21 12:15:15, Head Pose, Head Turned Right, 46.625, 90.5
2022-10-21 12:15:15, Head Pose, Head Turned Right, 46.625, 90.5
2022-10-21 12:15:16, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:17, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:17, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:18, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:18, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:19, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:19, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:20, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:20, Head Pose, Head Turned Right, 44.875, 90.5
2022-10-21 12:15:24, Head Pose, Head Turned Down, 41.375, 90.5
2022-10-21 12:15:25, Head Pose, Head Turned up, 41.375, 90.5
2022-10-21 12:15:27, Head Pose, Head Turned Right, 38.0, 90.5
2022-10-21 12:15:28, Head Pose, Head Turned Right, 38.0, 90.5
2022-10-21 12:15:28, Head Pose, Head Turned Right, 38.0, 90.5
2022-10-21 12:15:29, Head Pose, Head Turned Right, 38.0, 90.5
2022-10-21 12:15:29, Head Pose, Head Turned Right, 38.0, 90.4
2022-10-21 12:15:30, Head Pose, Head Turned Right, 38.0, 90.4
2022-10-21 12:15:30, Head Pose, Head Turned Right, 38.0, 90.4
2022-10-21 12:15:31, Head Pose, Head Turned Right, 38.0, 90.4
2022-10-21 12:15:31, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:32, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:32, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:33, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:33, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:34, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:34, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:35, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:35, Head Pose, Head Turned Right, 45.0, 90.4
2022-10-21 12:15:36, Head Pose, Head Turned Right, 41.375, 90.4
2022-10-21 12:15:37, Head Pose, Head Turned Right, 41.375, 90.4
2022-10-21 12:15:37, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:38, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:38, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:39, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:39, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:40, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:40, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:41, Head Pose, Head Turned Right, 41.375, 89.6
2022-10-21 12:15:41, Head Pose, Head Turned Right, 46.0, 89.9
2022-10-21 12:15:42, Head Pose, Head Turned Right, 46.0, 89.9
2022-10-21 12:15:42, Head Pose, Head Turned Right, 46.0, 89.9
2022-10-21 12:15:43, Head Pose, Head Turned Right, 46.0, 89.9
2022-10-21 12:15:44, Head Pose, Head Turned Right, 46.0, 90.0
2022-10-21 12:15:44, Head Pose, Head Turned Right, 46.0, 90.0
2022-10-21 12:15:45, Head Pose, Head Turned Right, 46.0, 90.0
2022-10-21 12:15:45, Head Pose, Head Turned Right, 46.0, 90.0
2022-10-21 12:15:47, Head Pose, Head Turned Right, 43.375, 90.0
2022-10-21 12:15:48, Head Pose, Head Turned left, 43.375, 89.8
2022-10-21 12:15:48, Head Pose, Head Turned left, 43.375, 89.9
2022-10-21 12:15:49, Head Pose, Head Turned left, 43.375, 89.6
2022-10-21 12:15:50, Head Pose, Head Turned left, 43.375, 91.0
2022-10-21 12:15:50, Head Pose, Head Turned left, 43.375, 91.3
2022-10-21 12:15:51, Head Pose, Head Turned up, 43.375, 91.3
2022-10-21 12:15:53, Head Pose, Head Turned Right, 48.875, 90.5
2022-10-21 12:15:54, Head Pose, Head Turned Right, 48.875, 90.5
2022-10-21 12:15:54, Head Pose, Head Turned Right, 48.875, 90.5
2022-10-21 12:15:55, Head Pose, Head Turned Right, 48.875, 90.4
2022-10-21 12:15:55, Head Pose, Head Turned Right, 48.875, 90.4
2022-10-21 12:15:56, Head Pose, Head Turned Right, 48.875, 90.4
2022-10-21 12:15:56, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:15:57, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:15:57, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:15:58, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:15:59, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:15:59, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:16:00, Mouth Opening Detection, Mouth Opened, 53.0, 90.4
2022-10-21 12:16:00, Head Pose, Head Turned Right, 53.0, 90.4
2022-10-21 12:16:02, Head Pose, Head Turned Right, 49.75, 90.4
2022-10-21 12:16:02, Head Pose, Head Turned Right, 49.75, 90.4
2022-10-21 12:16:03, Head Pose, Head Turned Right, 49.75, 90.4
2022-10-21 12:16:03, Head Pose, Head Turned Right, 49.75, 90.4
2022-10-21 12:16:04, Head Pose, Head Turned Right, 49.75, 90.4
2022-10-21 12:16:05, Head Pose, Head Turned Right, 49.75, 90.4
2022-10-21 12:16:05, Head Pose, Head Turned Right, 49.75, 90.3
2022-10-21 12:16:06, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:07, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:07, Head Pose, Head Turned Right, 45.75, 90.3
